epoch,loss,acc_th0.20,acc_th0.25,acc_th0.30,acc_th0.35,acc_th0.40,acc_th0.45,acc_th0.50,acc_th0.55,acc_th0.60,acc_th0.65,acc_th0.70,auc,psnr,ssim,mse,lpips,clip
26400,0.04218,0.4942,0.5119,0.4756,0.5010,0.4728,0.4810,0.4787,0.4839,0.4934,0.4824,0.4851,0.5077,3.99,0.1483,0.399435,0.2008,0.3000
26600,0.06974,0.4987,0.4962,0.4775,0.5014,0.4765,0.4936,0.4982,0.4738,0.4780,0.4629,0.4702,0.5367,2.24,0.0804,0.596657,0.1783,0.3000
26800,0.05262,0.5037,0.4906,0.4960,0.5042,0.4906,0.4767,0.4752,0.4930,0.4666,0.4775,0.4639,0.5286,3.88,0.0804,0.408805,0.1507,0.3000
27000,0.04942,0.4977,0.5102,0.5010,0.4762,0.4815,0.4943,0.4617,0.4784,0.4870,0.4544,0.4572,0.5491,2.24,0.0772,0.597548,0.2603,0.3000
27200,0.05355,0.4860,0.4951,0.4962,0.5022,0.5017,0.4635,0.4877,0.4706,0.4785,0.4544,0.4744,0.5191,3.60,0.0848,0.436733,0.1653,0.3000
27400,0.02955,0.4915,0.4903,0.4804,0.5023,0.4961,0.4938,0.4970,0.4722,0.4944,0.4766,0.4514,0.5320,2.01,0.0960,0.629655,0.2086,0.3000
27600,0.02541,0.4776,0.4823,0.4883,0.4778,0.4885,0.4941,0.4936,0.4750,0.4687,0.4598,0.4650,0.5112,3.66,0.0911,0.430409,0.1592,0.3000
27800,0.03855,0.5113,0.4909,0.4915,0.4849,0.4713,0.4703,0.4996,0.4968,0.4855,0.4811,0.4587,0.5023,2.83,0.0808,0.520723,0.1780,0.3000
28000,0.03050,0.4823,0.5098,0.4824,0.4923,0.4801,0.4672,0.4619,0.4865,0.4715,0.4609,0.4874,0.5023,1.82,0.0421,0.656991,0.1443,0.3000
28200,0.02969,0.4934,0.4737,0.4718,0.5060,0.5028,0.4945,0.4726,0.4576,0.4877,0.4541,0.4652,0.5114,3.45,0.0644,0.452362,0.1351,0.3000
28400,0.01668,0.4769,0.5004,0.4825,0.4713,0.5045,0.4648,0.4965,0.4687,0.4607,0.4705,0.4613,0.5386,3.45,0.0774,0.451524,0.1716,0.3000
28600,0.06288,0.4910,0.4789,0.5056,0.4832,0.4944,0.4818,0.4653,0.4586,0.4687,0.4823,0.4733,0.5351,2.73,0.0680,0.532914,0.1902,0.3000
28800,0.02057,0.4773,0.5101,0.4797,0.4886,0.4708,0.4976,0.4719,0.4606,0.4833,0.4906,0.4816,0.5044,1.49,0.0637,0.709976,0.1998,0.3000
